,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Lets Party (5),J Watson,26.33,0.0,5.62,2222,34.3kg,$0.00,435,A5,31/12/2023,pelaw-grange
1,2,Ridleys Banner (4),D Curry,26.39,0.75,5.55,1111,35.1kg,$0.00,435,A5,31/12/2023,pelaw-grange
2,3,Rackethall Alex (1),R Rotherham,26.49,2.0,5.64,3333,34.9kg,$0.00,435,A5,31/12/2023,pelaw-grange
3,4,Whitburn Wizard (3),H Burton,26.69,4.5,5.63,4444,29.3kg,$0.00,435,A5,31/12/2023,pelaw-grange
4,5,Holdem Sheriff (6),M Sillars,27.21,11.0,5.73,5555,32.1kg,$0.00,435,A5,31/12/2023,pelaw-grange
5,DNF,Great Diva (2),C J Murray,,,5.67,6000,29.3kg,,435,A5,31/12/2023,pelaw-grange
6,1,Our Dad's Rock (1),Michelle Mallia,22.55,0.0,8.3,Q11,36.2kg,$2.20,400,T3-M,23/01/2024,geelong
7,2,Idyllic Layla (7),Nicole Cachia,22.67,1.73,8.51,M22,25.3kg,$10.00,400,T3-M,23/01/2024,geelong
8,3,Tassie Time (8),Joyce Condon,22.98,6.13,8.6,M33,35.3kg,$5.00,400,T3-M,23/01/2024,geelong
9,4,Bart's Choice (6),Elizabeth Lloyd,23.38,11.87,8.74,M54,32.7kg,$14.00,400,T3-M,23/01/2024,geelong
10,5,Causing Rubble (2),Jason Sharp,23.5,13.51,8.63,M45,29.2kg,$9.00,400,T3-M,23/01/2024,geelong
11,6,Shiny New Toy (3),Jason Sharp,23.58,14.76,8.86,M77,28.6kg,$7.50,400,T3-M,23/01/2024,geelong
12,7,Prince Pierre (5),Cole Brett,23.69,16.23,8.87,S88,30.7kg,$16.00,400,T3-M,23/01/2024,geelong
13,8,Riverdale Sky (4),Cathrine Abela,23.88,19.03,8.76,M66,26.4kg,$21.00,400,T3-M,23/01/2024,geelong
14,1,Parwan's Star (1),Crystal Verde,23.29,0.0,8.49,M13,27.0kg,$4.60,400,T3-M,23/01/2024,geelong
15,2,Split Reef (2),James Forbes,23.31,0.21,8.5,M21,29.9kg,$3.60,400,T3-M,23/01/2024,geelong
16,3,Mrs. Dramatic (3),Corey Mackie,23.33,0.51,8.65,Q42,28.6kg,$4.20,400,T3-M,23/01/2024,geelong
17,4,Action Royale (6),Keith Lloyd,23.4,1.54,8.76,M54,32.5kg,$12.00,400,T3-M,23/01/2024,geelong
