,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Angel Harks (3),Robert Weeding,19.2,0.0,7.19,2.0,28.0kg,$4.75,331,MA5,01/10/2023,albion-park
1,2,Back Seat Betty (1),Sidney Goodwin,19.27,1.0,7.11,1.0,25.5kg,$2.50,331,MA5,01/10/2023,albion-park
2,3,Cake Is Good (2),Stephen Neary,19.29,1.25,7.3,4.0,27.8kg,$3.25,331,MA5,01/10/2023,albion-park
3,4,Tuta Mimosa (7),Cecil Druery,19.54,4.75,7.49,8.0,25.7kg,$71.00,331,MA5,01/10/2023,albion-park
4,5,Tuscany Cyndie (5),Andrew Pearce,20.09,12.75,7.26,3.0,29.2kg,$17.00,331,MA5,01/10/2023,albion-park
5,6,Gus Gus (8),Eric Honeyman,20.1,12.75,7.41,7.0,36.6kg,$6.50,331,MA5,01/10/2023,albion-park
6,7,Despicable Josh (4),Keith Donaldson,20.14,13.25,7.36,5.0,39.2kg,$22.00,331,MA5,01/10/2023,albion-park
7,8,Louie Luxe (6),Sidney Goodwin,22.19,42.5,7.39,6.0,23.1kg,$41.00,331,MA5,01/10/2023,albion-park
8,1,Cameron Keeping (3),Bradley Cook,16.35,0.0,5.58,11.0,34.6kg,$2.25,275,N,01/10/2023,cannington
9,2,Pub Fiction (6),Anthony Scott,16.37,0.25,5.77,74.0,37.7kg,$9.50,275,N,01/10/2023,cannington
10,3,He's Naughty (8),Anthony Scott,16.43,1.0,5.66,43.0,27.5kg,$4.10,275,N,01/10/2023,cannington
11,4,Rev On Ronnie (2),Benjamin Maclean,16.6,3.5,5.75,56.0,33.4kg,$4.90,275,N,01/10/2023,cannington
12,5,Lightning Strike (7),Michael Rylands,16.65,4.25,5.63,25.0,30.6kg,$12.00,275,N,01/10/2023,cannington
13,6,Westdale Buster (5),Barry Mcpherson,16.66,4.25,5.66,32.0,33.1kg,$23.00,275,N,01/10/2023,cannington
14,7,Marley Cruise (4),Barry Mcpherson,16.76,5.75,5.77,67.0,28.8kg,$29.00,275,N,01/10/2023,cannington
15,8,Illusive Mac (1),Kylie Mclennan,16.81,6.5,5.88,88.0,25.1kg,$19.00,275,N,01/10/2023,cannington
16,1,Liberty Star (5),Rodney Noden,22.18,0.0,6.59,111.0,28.9kg,$22.00,380,M,01/10/2023,cannington
17,2,Magic Entry (7),Timothy Gummow,22.41,3.25,6.91,222.0,28.0kg,$4.50,380,M,01/10/2023,cannington
18,3,Molotov Boy (3),Morgan Turner,22.5,4.5,6.98,433.0,34.1kg,$8.00,380,M,01/10/2023,cannington
