,Plc,Name (Box),Trainer,Time,Mgn,Split,In Run,Wgt,SP,Distance,RaceGrade,date,Track
0,1,Aussie Karen (5),Lee Lansdown,22.52,0.0,,Q/11,26.2kg,$3.40,390,6G,09/09/2023,ballarat
1,2,Koutaki (3),Jordan McQuillen,22.77,3.53,,Q/22,32.1kg,$4.80,390,6G,09/09/2023,ballarat
2,3,Time Turner (6),Colin Baker,23.02,7.11,,M/53,33.3kg,$90.00,390,6G,09/09/2023,ballarat
3,4,Give The Slip (4),Craig Treherne,23.03,7.2,,M/34,25.0kg,$6.50,390,6G,09/09/2023,ballarat
4,5,Bridgewater Lyn (2),Michael Niele,23.19,9.56,,S/86,30.2kg,$51.00,390,6G,09/09/2023,ballarat
5,6,Little Brew (1),Raymond Brewer,23.26,10.46,,M/75,26.9kg,$3.60,390,6G,09/09/2023,ballarat
6,7,Cherry Red (7),Ronald Dunne,23.93,20.09,,M/67,30.0kg,$7.50,390,6G,09/09/2023,ballarat
7,DNF,Acoustic Flash (8),Michael Niele,,,,M/48,28.0kg,,390,6G,09/09/2023,ballarat
8,1,Sunset Mirage (8),David Hobby,30.13,0.0,5.47,1111.0,32.2kg,$1.40,520,M,09/09/2023,cannington
9,2,Kisses For Kaos (1),Christine Robartson,30.57,6.25,5.61,2222.0,28.2kg,$4.00,520,M,09/09/2023,cannington
10,3,Pepper Grinder (3),Corey White,30.68,7.75,5.72,4544.0,27.9kg,$14.00,520,M,09/09/2023,cannington
11,4,Erasmus Duke (5),Lewis Clay,30.78,9.25,5.78,6433.0,32.2kg,$8.50,520,M,09/09/2023,cannington
12,5,Sapphire Star (7),Colleen Pierson,31.09,13.75,5.7,3355.0,26.1kg,$61.00,520,M,09/09/2023,cannington
13,6,Azuero (2),Benjamin Maclean,31.28,16.25,5.76,5666.0,31.8kg,$29.00,520,M,09/09/2023,cannington
14,1,Sparks Flying (5),Adam Smithson,22.03,0.0,6.49,111.0,28.0kg,$2.80,380,N,09/09/2023,cannington
15,2,Vander Colin (1),Enzo Crudeli,22.22,2.5,6.76,222.0,35.6kg,$4.80,380,N,09/09/2023,cannington
16,3,All About Quartz (2),David Hobby,22.44,5.75,6.85,443.0,24.9kg,$3.60,380,N,09/09/2023,cannington
17,4,Maximum Carnage (3),Enzo Crudeli,22.5,6.5,6.83,334.0,34.3kg,$17.00,380,N,09/09/2023,cannington
18,5,Sunset Carribean (7),David Hobby,22.61,8.25,6.94,655.0,35.6kg,$6.50,380,N,09/09/2023,cannington
19,6,Dandalup Punga (6),Corey White,22.69,9.25,6.93,566.0,33.1kg,$17.00,380,N,09/09/2023,cannington
20,7,Lil Bit Sour (8),David Hobby,23.04,14.25,6.99,777.0,28.0kg,$20.00,380,N,09/09/2023,cannington
